,ACTION,RESOURCE,MGR_ID,ROLE_ROLLUP_1,ROLE_ROLLUP_2,ROLE_DEPTNAME,ROLE_TITLE,ROLE_FAMILY_DESC,ROLE_FAMILY,ROLE_CODE
0,0,78766,72734,118079,118080,117878,117879,118177,19721,117880
1,0,40644,4378,117961,118327,118507,118863,122008,118398,118865
2,0,75443,2395,117961,118300,119488,118172,301534,249618,118175
3,0,43219,19986,117961,118225,118403,120773,136187,118960,120774
4,0,42093,50015,117961,118343,119598,118422,300136,118424,118425
5,0,44722,1755,117961,117962,119223,125793,146749,118643,125795
6,0,75834,21135,117961,118343,123494,118054,118054,117887,118055
7,0,4675,3077,117961,118300,120312,124194,124195,118363,124196
8,0,18072,15575,117902,118041,118623,280788,280788,292795,119082
9,0,22680,4474,117961,118446,119064,118321,118448,290919,118322
10,0,23150,25293,117961,118386,128823,118321,117906,290919,118322
11,0,80179,6222,117961,118052,118746,117905,117906,290919,117908
12,0,25993,52925,117980,117981,117920,118568,156279,19721,118570
13,0,14570,108550,117929,117930,117912,118568,281735,19721,118570
14,0,80452,1600,117961,118327,118507,118890,311441,118398,118892
15,0,34026,19839,117961,118300,120722,118685,120316,308574,118687
16,0,78106,53747,117916,118150,117884,118568,146968,19721,118570
17,0,34924,2017,117961,118327,121645,118321,117906,290919,118322
18,0,41297,3883,117961,118343,119987,118536,132799,308574,118539
19,0,73756,39942,117961,118225,124380,307024,140976,118331,118332
20,0,4675,771,117961,118300,120722,118321,117906,290919,118322
21,0,5349,7370,117961,118413,118481,127782,230830,290919,127783
22,0,80127,2765,118290,118291,118301,120344,267006,118424,120346
23,0,15798,5464,117916,119623,118403,118321,117906,290919,118322
24,0,28315,48938,118169,118170,118042,118043,285669,270488,118046
25,0,20351,2034,117961,118052,118328,299559,259703,118205,163732
26,0,8708,121729,118358,118359,29113,118054,117886,117887,118055
27,0,41649,49323,118990,118991,118992,118321,117906,290919,118322
28,0,5173,3970,117961,118300,118458,118054,118054,117887,118055
29,0,34299,9659,118742,118743,117920,117885,117886,117887,117888
30,0,29634,7648,117961,118300,119195,117905,117906,290919,117908
31,0,3069,3119,117961,118300,120312,119849,310589,118638,119851
32,0,27356,22800,117961,118343,118171,118636,185784,118638,118639
33,0,34277,3104,117961,118343,123476,118054,118054,117887,118055
